Item Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fiber (g),Sodium (mg)
baked egg,218.85,15.42,11.88,12.65,1.03,523.29
plain omelette/omlet,272.41,0.64,9.66,25.74,0.12,226.18
stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,0.75,267.19
pancake,203.36,20.49,5.68,10.82,0.65,143.7
keema pancake,176.27,9.56,9.01,11.25,0.84,125.4
vegetable pancake,125.18,12.24,3.87,6.57,2.48,116.69
jam and fruit pancake,162.02,20.73,3.79,7.01,1.21,93.09
khoa and coconut pancake,271.98,27.32,6.98,15.29,1.65,101.0
brown stock,21.32,0.25,1.95,1.38,0.09,44.6
vegetable stock,17.6,0.96,0.3,1.38,0.38,49.75
chicken stock,29.88,0.37,3.69,1.51,0.1,58.58
clear tomato soup (tamatar ka soup),80.07,3.45,4.79,12.22,1.96,5135.74
lentil soup,31.17,3.94,9.65,11.68,2.57,10418.84
chicken consomme (clear chicken soup),47.94,1.19,11.47,12.02,1.57,8953.64
cream of tomato soup,97.81,3.93,4.61,13.12,1.38,4461.22
cream of green peas soup,127.84,6.75,7.13,14.78,2.95,4999.7
cream of spinach soup,100.54,3.45,5.21,13.31,1.74,4429.81
cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.14,5655.45
cream of mushroom soup,117.28,3.74,6.64,15.5,1.34,5276.06
chicken sweet corn soup,28.32,1.63,14.48,12.59,0.47,12205.33
minestrone soup,42.66,3.71,9.3,11.09,1.92,8875.06
egg drop soup,26.64,1.1,12.93,13.52,0.81,12418.84
chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.57,4249.41
french onion soup,55.61,4.28,11.41,14.39,1.01,11202.89
hot and sour soup,31.51,1.78,3.12,1.31,0.6,163.26
talaumein soup,35.63,4.17,10.12,12.78,1.94,11088.14
cold cucumber soup (thanda kheere ka soup),48.03,4.58,2.99,1.99,0.88,121.32
cold summer garden soup,49.19,2.65,8.57,14.08,1.86,9919.62
chapati/roti,202.31,35.65,5.88,3.56,6.31,1.16
plain parantha/paratha,298.3,30.69,5.06,16.86,5.43,62.07
potato parantha/paratha (aloo ka parantha/paratha),205.04,23.92,3.7,10.22,4.18,127.2
radish parantha/paratha (mooli ka parantha/paratha),183.52,20.54,3.3,9.53,4.32,127.03
cauliflower parantha/paratha (phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,4.68,190.03
dal parantha/paratha,268.24,30.03,6.78,13.05,6.46,156.13
sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,4.49,153.94
pea parantha/paratha (matar ka parantha/paratha),190.73,21.51,5.59,8.8,5.61,109.99
keema parantha/paratha,238.09,18.36,9.41,13.91,3.44,140.62
paneer parantha/paratha,262.97,24.33,7.98,14.62,4.0,142.52
besan and spinach parantha/paratha (besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,4.39,177.19
poori,737.63,8.22,1.35,77.61,1.46,31.73
spinach poori (palak poori),684.25,7.76,1.42,71.86,1.55,35.47
methi poori,710.02,7.98,1.45,74.6,1.61,35.37
dal stuffed poori,785.16,10.14,2.08,81.69,1.96,128.18
potato stuffed poori (aloo ki poori),776.74,9.4,1.52,81.35,1.64,69.86
tandoori parantha/paratha,295.37,30.74,5.08,16.51,5.44,1.14
boiled rice (uble chawal),117.19,25.72,2.6,0.18,1.25,1.05
plain pulao,140.21,21.82,2.34,4.62,1.69,193.76
mixed vegetable pulao,113.05,17.49,2.72,3.33,2.67,187.92
mushroom pulao,124.29,19.02,2.52,4.03,1.88,222.36
sprouted moong pulao,112.97,17.49,2.19,3.61,1.78,153.16
paneer pulao,581.91,8.76,1.98,59.81,0.62,72.28
peanut pulao,193.28,21.18,5.32,9.51,2.9,168.4
navratan pulao,261.71,36.98,6.2,9.45,3.82,334.26
green chickpeas pulao (choliya pulao/hare chane ka pulao),173.43,27.57,4.88,4.82,3.15,170.05
mutton biryani/biriyani,190.76,22.5,7.38,7.72,2.42,262.64
vegetable biryani/biriyani,174.61,18.56,3.16,9.51,3.31,183.79
"lemon rice (pulihora, elumichai sadam, chitranna)",176.3,21.62,4.26,7.88,2.52,187.11
sweet rice (meethe chawal),215.41,42.59,2.1,4.57,1.13,3.2
curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam),195.74,32.93,5.75,4.32,2.13,213.29
tamarind rice (chintapandu pulihora/puliyodharai/puli sadam/huli anna),373.04,65.08,7.45,8.53,5.12,162.41
spanish rice,164.24,31.1,4.19,2.23,2.78,96.61
chinese fried rice,120.58,13.4,4.05,5.43,2.31,248.36
macroni cheese pie,170.63,21.1,5.85,7.48,0.4,200.51
vegetable chowmein,129.71,15.44,3.07,6.36,1.86,258.47
chicken chowmein,151.33,13.3,6.33,8.23,1.64,288.15
cheese noodle ring,133.67,13.96,6.22,6.12,1.27,241.96
spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,0.59,104.14
penne platter,177.4,20.87,5.04,8.71,1.09,283.37
pasta hot pot,125.17,11.6,5.84,6.47,0.8,231.17
chicken lasagne,187.49,13.9,10.45,10.36,0.11,238.55
fettuccine with spinach sauce,129.21,12.19,3.1,7.83,0.77,153.59
naan,286.45,51.75,8.05,4.99,1.91,326.11
bhatura,793.2,10.73,1.63,82.56,0.38,28.3
idli,137.54,28.18,4.64,0.33,2.31,100.83
masala dosa,164.58,19.57,3.29,7.84,2.52,191.28
semolina dosa (suji/rava dosa),227.05,32.84,7.3,7.12,4.04,202.36
onion tomato uttapam,462.02,11.32,1.91,45.3,1.26,143.53
paneer kaathi roll,285.94,20.1,6.92,19.55,2.4,221.03
makki ki roti,263.97,24.19,3.49,16.85,5.19,236.22
washed moong dal (dhuli moong ki dal),50.0,5.91,2.68,1.68,1.17,150.64
washed urad dal (dhuli urad ki dal),61.32,5.84,2.51,2.98,1.53,142.21
split bengal gram with bottle gourd (channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,2.72,149.47
dry washed urad,124.71,15.66,6.85,3.5,4.06,295.79
mixed dal,61.93,5.79,2.51,3.1,1.62,141.36
whole moong (moong ki dal),53.7,5.22,2.25,2.56,2.02,123.86
whole masoor (masoor ki dal),54.05,5.37,2.28,2.52,1.98,123.72
whole moth (moth ki dal),55.0,5.74,2.01,2.62,1.85,125.08
whole urad (urad ki dal),53.8,5.05,2.21,2.62,2.32,126.12
moti mahal dal (urad rajmah mix dal),103.13,8.74,3.93,5.66,3.38,157.61
black channa curry/bengal gram curry (kale chane ki curry),140.68,14.11,5.67,6.61,7.99,358.63
chickpeas curry (safed channa curry),163.43,19.98,6.1,6.84,4.73,357.99
lobia curry,148.99,17.88,6.06,5.62,4.57,355.41
soyabean curry,163.28,6.76,10.43,10.19,7.34,352.69
kidney bean curry (rajmah curry),143.73,16.38,5.95,5.77,5.83,354.6
sambar,96.92,10.57,3.35,4.38,3.52,159.54
besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.81,60.8
khatta channa,202.57,21.14,6.3,10.56,5.26,513.32
sprouted moong dal chat,32.47,6.01,1.35,0.32,1.35,87.07
potato cauliflower (aloo gobhi),106.18,5.99,1.9,8.13,3.02,254.76
potato capsicum (shimla mirch aloo),125.53,8.72,1.41,9.33,2.02,277.92
cabbage and peas (pattagobhi aur matar),63.88,6.24,3.24,2.64,3.99,253.73
carrot and fenugreek leaves (gajar methi),61.92,4.17,2.1,3.81,4.43,262.91
potato fenugreek (aloo methi),135.15,8.47,2.25,10.04,2.93,221.93
brinjal bhartha (baingan ka bhartha),65.12,4.4,1.38,4.48,3.27,132.15
dry potato (sookhe aloo),103.15,14.38,1.62,4.18,1.88,199.99
beans with coconut (nariyal aur sem/phali; beans thoran),131.63,4.39,2.62,11.39,5.59,271.65
cauliflower with coconut (nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,5.27,286.06
carrot and cabbage with coconut (nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,4.52,219.6
raw turnip with coconut,132.15,5.78,1.8,11.47,2.79,275.55
raw papaya with coconut (papaya thoran),132.75,5.58,1.54,11.42,4.31,270.56
stuffed okra (bharwa bhindi),94.34,3.85,2.08,7.66,4.15,210.03
stuffed round gourd (bharwa tinde),72.8,4.02,1.1,5.75,2.1,180.15
stuffed capsicum (bharwa shimla mirch),90.94,8.26,1.34,5.7,2.01,173.94
stuffed brinjal (bharwa baingan),93.0,3.96,1.53,7.73,4.09,212.88
stuffed tomatoes (bharwa tamatar),93.35,6.19,3.28,6.06,2.2,165.85
pea potato curry (aloo matar),100.92,9.74,3.48,5.13,3.61,154.83
pea paneer curry (matar paneer),134.83,9.29,6.61,7.75,3.3,157.34
pea mushroom curry (matar mushroom),93.3,7.41,3.87,5.16,3.86,155.48
pea curry (matar ki sabzi),102.99,9.2,4.51,5.11,4.44,154.75
pea vadi curry,101.95,8.9,4.64,5.08,4.28,149.51
paneer curry,176.52,8.4,7.8,12.38,1.4,216.09
lotus stem curry (kamal kakdi curry),110.34,9.24,1.53,7.25,3.14,217.05
gravy for kofta,125.59,6.31,1.75,10.35,1.96,312.86
pea kofta curry (matar kofta curry),595.66,4.17,2.01,63.39,1.7,83.07
spinach kofta curry (palak kofta curry),571.78,3.56,1.09,61.49,0.92,104.51
paneer kofta curry,670.91,3.27,2.39,72.06,0.4,121.72
lotus stem kofta curry (kamal kakdi kofta curry),633.56,5.01,0.96,67.76,1.01,108.61
raw banana kofta curry (kela kofta curry),627.27,3.4,0.62,67.98,0.59,88.4
cauliflower kofta curry (phoolgobhi kofta curry),641.1,2.62,1.04,69.62,1.0,93.65
cabbage kofta curry (pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.9,92.85
ghiya/lauki kofta curry,638.71,2.71,0.89,69.4,0.83,91.43
spinach paneer kofta curry (palak paneer kofta curry),606.03,2.94,1.43,65.41,0.75,99.37
vegetarian egg kofta curry,627.41,4.26,1.33,67.24,0.64,95.89
baked vegetables,88.99,8.44,3.67,4.44,2.34,124.7
cauliflower musallam (phoolgobhi musallam),58.83,4.48,1.89,3.55,3.06,123.36
baked vegetables with spinach,77.79,6.93,3.22,4.03,2.33,122.85
baked potato with skin,135.77,11.11,3.43,8.5,1.2,354.5
shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.23,118.2
baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.34,79.66
dum aloo,682.33,3.33,0.7,74.01,0.68,183.85
spinach paneer (palak paneer),77.68,4.43,4.03,4.76,1.91,166.87
methi chaman,475.62,2.78,1.54,50.91,0.53,54.94
sarson ka saag,87.84,5.33,3.0,5.86,3.69,165.45
jackfruit sabzi (kathal ki sabzi),625.4,3.4,0.69,67.6,1.02,58.95
avial,124.56,8.47,2.46,8.94,5.44,81.5
al yakhani,147.54,4.65,2.86,13.14,1.27,206.24
shahi paneer,156.5,6.64,5.06,12.34,1.4,215.35
paneer in butter sauce,145.61,9.7,6.99,8.81,1.5,151.45
methi malai paneer,194.98,8.15,7.34,14.76,1.47,221.16
chilli paneer,777.51,3.31,2.1,84.01,0.5,89.04
paneer makhana korma,775.82,4.63,3.24,82.76,0.21,77.01
kadhai paneer,107.99,7.34,4.33,6.81,2.07,144.33
roghan josh,139.59,4.93,9.56,9.02,2.08,204.31
spinach mutton (palak mutton),80.32,3.45,5.74,4.71,2.23,121.1
pea keema curry (matar keema ki sabzi),133.0,6.24,8.43,8.14,2.96,148.38
keema kofta curry,154.45,5.64,9.77,10.39,1.51,311.51
kashmiri mutton koftas (gushtaba),97.42,3.04,6.33,6.77,0.62,130.11
mutton yakhni,104.13,0.84,8.27,7.7,0.67,101.02
chicken yakhni,99.0,0.78,10.66,6.1,0.62,97.38
mutton do piaza,183.3,4.14,9.39,14.41,1.93,118.62
mutton chops,663.64,1.48,4.03,71.31,0.17,51.03
shammi kebab,685.69,3.54,4.52,72.61,1.05,54.27
scotch egg,676.89,1.91,4.05,72.62,0.36,90.67
shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.05,197.25
chicken curry,129.22,3.38,11.79,7.57,1.41,108.0
tandoori chicken,145.2,2.34,16.26,7.93,0.5,158.0
butter chicken,137.0,3.74,10.92,8.7,1.32,26.21
chicken kebab,729.41,1.11,3.71,78.89,0.21,69.76
chilli chicken,198.83,2.86,9.57,16.56,0.99,223.75
fried chicken with tomato sauce (fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.13,107.56
fish curry (machli curry),111.13,3.77,8.76,6.69,1.89,184.71
fried fish (indian style) (tali hui machli),658.54,5.4,4.35,68.88,0.61,156.94
fried fish and chips (english style) (tali hui machli aur chips),651.75,2.77,3.36,69.69,0.29,72.73
tomato fish,489.79,3.18,2.39,51.91,0.72,91.47
baked fish with cheese sauce,113.96,4.06,8.64,7.02,0.08,209.48
fish tikka,117.33,3.91,16.0,4.15,1.18,503.44
tandoori fish,95.98,2.37,11.19,4.64,0.58,123.94
"paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,1.65,176.63
russian salad,114.83,6.5,4.26,7.84,2.57,101.09
pasta salad,190.36,12.7,4.15,13.92,0.96,152.31
deviled egg,98.56,2.23,4.97,7.72,1.15,117.29
hawain salad,175.23,14.35,4.27,11.37,3.93,64.92
mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,2.96,127.78
sprouted moong salad,37.81,5.48,2.29,0.74,0.95,116.38
tossed salad,62.96,4.95,1.02,4.22,2.15,77.5
mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,3.79,116.66
potato salad (aloo ka salaad),89.91,11.19,1.4,4.4,1.32,125.01
waldroff salad,141.75,11.02,1.47,10.05,1.87,13.42
coleslaw,76.71,5.59,1.24,5.32,2.34,29.87
fruit salad (phalon ka salaad),78.14,15.96,0.91,1.22,1.58,7.11
tomato onion raita (tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84,0.97,165.21
peanut raita (mungfali ka raita),150.39,9.3,8.59,8.98,1.89,235.83
sprouted moong raita,60.89,6.13,4.62,2.19,0.16,189.2
bottle gourd raita (ghiya/lauki ka raita),56.31,5.76,3.98,2.07,0.85,188.37
cucumber raita (kheere ka raita),59.13,6.35,4.04,2.08,0.86,189.96
carrot and spinach raita (gajar aur palak ka raita),56.83,5.83,4.0,1.99,1.39,180.79
mint raita (pudinay ka raita),77.59,7.65,5.64,2.96,0.34,274.38
potato raita (aloo ka raita),75.38,10.24,4.22,2.04,0.75,183.37
boondi raita,687.72,3.96,2.19,73.83,0.46,99.18
sweet raita (meetha raita),99.24,17.93,3.24,1.78,1.02,42.98
dahi vadas/dahi bhalla,667.73,5.49,2.96,70.4,0.97,79.0
gunjia,667.34,5.68,2.98,70.28,1.13,77.9
saunth/sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,0.93,244.38
rice kheer (chawal ki kheer),75.03,10.05,2.3,2.97,0.17,16.24
makhana kheer,107.85,12.88,3.31,5.0,0.11,23.4
vermicelli kheer (semiya/seviyan ki kheer),120.07,15.87,3.35,5.0,0.5,22.52
semolina kheer (suji/rava kheer),113.21,15.88,3.43,4.2,0.51,22.66
paneer kheer,105.31,10.03,4.53,5.37,0.07,23.81
cabbage kheer (pattagobhi ki kheer),83.51,9.73,2.87,3.8,0.51,22.67
carrot kheer (gajar ki kheer),85.35,10.09,2.81,3.85,0.73,28.54
cauliflower kheer (phoolgobhi ki kheer),81.95,8.78,3.04,3.95,0.55,25.19
moong dal kheer,77.16,9.89,2.95,2.97,0.4,16.34
phirni,116.12,16.11,3.49,4.34,0.36,22.47
semolina halwa (suji ka halwa),225.65,24.67,2.16,13.38,1.86,1.28
shahi suji halwa,382.34,44.44,3.48,21.73,2.96,2.18
carrot halwa (gajar ka halwa),172.64,18.53,3.11,9.73,2.65,39.96
egg halwa (ande ka halwa),299.74,39.59,7.85,13.41,0.49,83.04
potato halwa (aloo ka halwa),151.66,29.18,1.53,3.48,1.64,4.23
pumpkin halwa (kaddu ka halwa),190.27,27.6,1.33,8.81,2.97,8.09
moong dal halwa,349.8,40.23,8.35,17.68,2.65,11.19
caramel custard (steamed),121.58,15.02,4.97,4.87,0.0,43.57
baked custard,106.53,9.45,5.41,5.3,0.0,47.13
soft custard (stirred),109.18,11.19,5.01,5.07,0.0,122.17
chocolate ice cream,177.7,15.41,4.47,11.25,0.0,36.79
mango ice cream,125.69,11.14,3.4,7.62,0.52,29.13
fruit ice cream (phalon ka ice cream),171.46,16.05,4.37,10.38,0.33,38.78
caramel ice cream,173.52,14.81,4.31,11.15,0.08,33.47
lemon souffle,168.51,13.43,6.95,10.02,0.0,50.73
orange souffle,168.28,14.2,6.8,9.73,0.22,49.22
vanilla souffle,187.85,14.78,7.71,11.19,0.0,56.73
chocolate souffle,189.32,14.74,7.88,11.36,0.0,56.07
pineapple souffle,196.14,15.52,8.06,11.72,0.0,59.17
apple mousse,106.92,12.77,4.21,4.27,1.6,28.79
rich chocolate mousse,188.26,10.84,7.96,12.19,0.0,51.71
mango mousse,124.98,9.14,3.21,8.47,0.88,19.62
orange and pineapple cream,101.18,11.96,1.44,5.43,1.03,10.17
charlotte rousse,188.29,34.08,3.95,4.78,1.01,56.45
triffle pudding,116.97,18.24,2.93,3.93,0.12,26.95
snow flakes pudding,95.21,8.07,4.67,4.97,0.03,39.6
kulfi,98.43,11.3,3.21,4.7,0.12,23.97
steamed orange pudding,278.03,41.53,2.34,12.04,0.58,79.1
meringue and rice pudding,112.93,14.6,4.84,4.05,0.17,44.16
cheese pudding,285.01,19.27,11.29,18.37,0.05,37.83
chocolate pudding,211.96,29.59,3.55,9.48,0.53,171.36
bread and butter pudding,167.94,19.63,5.59,7.88,0.98,96.3
queen of pudding,132.92,16.35,5.51,5.38,0.27,85.59
pineapple upside down pudding,257.73,35.73,3.15,11.91,0.8,74.52
date and nut pie,322.42,46.86,3.93,13.31,4.13,3.87
stewed apple with custard,92.87,18.36,1.27,1.82,1.01,16.66
apple snowballs,101.51,24.58,0.86,0.31,1.25,12.8
hot orange souffle,179.97,18.77,6.87,8.95,0.29,58.8
hot chocolate souffle,226.09,26.21,6.7,11.1,0.12,54.11
hot vanilla souffle,192.93,21.77,6.87,9.07,0.13,59.59
plain burfi (burfi),408.32,30.88,9.82,27.96,0.17,31.65
coconut burfi (nariyal ki burfi),467.64,32.15,8.81,34.63,3.5,27.63
bottle gourd burfi (ghiya/lauki burfi),275.96,24.51,5.86,17.68,0.73,18.15
chocolate burfi,339.33,33.15,13.0,17.86,0.0,39.32
cashewnut burfi (kaju burfi/kaju katli),421.74,37.92,5.48,28.46,1.12,4.23
gram flour burfi (besan burfi),421.79,46.59,11.19,22.41,3.41,13.02
semolina ladoo with khoya (suji/rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,4.68,14.4
semolina ladoo with coconut (suji/rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,6.69,9.06
gram flour ladoo (besan ladoo),476.91,62.61,8.93,22.76,4.43,5.48
sesame ladoo (til ke ladoo),396.96,43.5,10.7,19.64,7.72,18.55
chenna murki,252.69,36.01,10.46,8.2,0.0,11.4
milk cake,127.41,9.13,3.01,8.93,0.06,24.97
ghujia/lavang latika,768.98,13.0,1.86,78.93,0.52,3.28
gulab jamun with khoya,586.06,26.09,2.03,53.23,0.07,15.09
mal pua,566.68,17.56,1.71,54.64,0.62,6.35
shahi tukre,189.81,41.46,2.76,2.54,0.51,71.04
potato pakora/pakoda (aloo pakoda),677.19,6.04,1.9,71.84,1.03,63.38
onion pakora/pakoda (pyaaz ke pakode),674.61,5.41,1.9,71.84,1.11,63.55
cauliflower pakora/pakoda (phoolgobhi ke pakode),671.63,4.52,1.98,71.86,1.26,66.54
mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,1.13,65.35
spinach pakora/pakoda (palak pakoda),712.62,4.68,1.96,76.38,1.02,69.54
methi pakora/pakoda (methi ke pakode),713.25,4.68,2.06,76.39,1.18,69.83
egg pakora/pakoda (ande ke pakode),710.51,4.48,2.83,75.86,0.86,75.37
bread pakora/pakoda,710.99,8.87,2.57,74.2,1.11,101.49
paneer pakora/pakoda,718.12,5.52,3.27,76.05,0.89,131.7
potato bonda (aloo bonda),632.84,4.53,1.09,67.8,0.83,132.53
potato samosa (aloo ka samosa),577.39,9.21,1.71,59.19,1.19,77.1
minced meat samosa (keema ka samosa),620.99,6.14,4.43,64.26,0.39,88.64
paneer and pea samosa (paneer matar ka samosa),623.81,8.55,4.02,63.65,1.02,78.18
mathri,805.12,12.32,1.75,83.1,0.6,64.7
khasta kachori,712.73,12.81,2.51,72.27,0.97,90.56
vegetable cutlet,665.45,4.68,1.25,71.33,0.93,85.38
flattened rice cutlet (chirwa cutlet/chivda cutlet/poha cutlet),701.71,7.39,1.76,73.89,0.86,76.65
peanut cutlet (mungfali ke cutlet),698.77,5.68,2.63,74.0,1.21,84.24
fish cutlet (machli ka cutlet),654.64,3.13,2.77,70.11,0.54,75.33
paneer potato cutlet (paneer aloo cutlet),672.94,5.23,2.47,71.4,0.41,85.71
spinach chickpeas cutlet (palak channa dal cutlet),688.03,4.93,1.44,73.6,0.93,79.13
cheese toast,785.37,5.49,1.98,84.11,0.31,121.05
vegetable burger,519.93,13.69,3.26,50.63,1.7,168.97
cheese pizza,249.5,30.62,5.79,12.43,1.95,397.73
vegetable seekh kebab,690.73,5.32,1.57,73.72,0.59,83.67
masala vada,826.02,4.06,1.69,89.15,1.07,74.53
peanut sago vada (sabudana mungfali vada),749.89,7.14,1.01,79.82,0.62,71.29
vegeterian scotch egg,681.67,4.64,2.16,72.77,0.58,93.33
paneer shaslik/tikka,93.85,7.98,5.11,4.49,1.23,103.39
peanut brittle (moongfali ki chikki),320.46,47.46,6.94,11.13,2.63,15.99
spring roll,623.87,8.56,1.81,64.63,0.67,132.84
dry mango chutney (sookhe aam ki chutney),298.13,69.17,2.43,0.7,3.74,437.91
peanut chutney (mungfali ki chutney),258.37,9.87,11.8,19.06,5.73,475.34
coconut chutney (nariyal ki chutney),265.92,8.29,3.59,25.0,6.73,428.28
mint and coriander chutney (pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,4.33,391.66
custard tart,225.6,28.66,3.72,10.73,0.91,59.74
lemon tart,303.35,30.68,6.12,17.45,0.81,76.09
jam tart,360.72,46.18,4.42,17.35,1.14,70.34
orange cream tart,197.16,27.43,2.58,8.72,0.64,36.85
pineapple tart,195.4,28.62,2.29,8.21,0.87,37.88
cheese and mushroom tart,246.1,21.43,5.51,15.28,1.18,212.42
cottage cheese pie,238.98,20.66,7.45,13.83,2.21,103.29
minced meat pie,221.55,18.11,7.38,13.04,2.33,127.85
apple cinnamon pie,258.73,33.68,3.35,12.21,1.77,60.14
lemon meringue pie,224.43,35.11,3.88,8.16,0.44,85.12
chocolate meringue pie,214.76,28.8,4.98,9.17,0.37,80.77
cream puffs,221.33,16.0,4.7,15.48,0.38,98.76
chocolate eclairs,239.42,26.22,4.24,13.5,0.33,85.88
cheese balls,681.28,4.81,2.21,72.57,0.18,120.7
minced meat patties,265.72,15.25,6.88,19.57,0.77,252.18
cheese patties,324.01,22.23,7.38,22.67,1.24,295.22
hot cheese souffle,177.1,5.41,9.18,13.23,0.12,286.96
hot potato souffle,125.64,8.56,5.51,7.64,0.66,97.2
hot fish souffle,142.92,3.69,11.23,9.24,0.1,110.94
hot spinach souffle,104.25,4.19,5.43,7.24,0.99,104.69
